contract,n,mae,rmse,mape,median_spread,corr,corr_log
K2025,4074,0.2892606639710898,0.4063644627108687,0.40037580635736103,-4.823356647420951e-07,0.5735391581722193,0.57358734699342
N2025,5073,0.18416903990596795,0.2543732333356652,0.2887204907096529,0.0,0.3112775245626834,0.31113048184581327
Q2025,5078,0.2774894347919822,0.4455865899926053,0.389026388135152,2.3156587758421665e-10,0.1435757795009291,0.14159646392756137
