date_time,contract_d1,contract_d2,same_contract,close_d1_scaled,close_d2,spread,vol_d1,vol_d2
2025-03-03 00:00:00+00:00,K2025,K2025,True,73.16282066909305,73.32,-0.15717933090694203,4,10
2025-03-03 00:05:00+00:00,K2025,K2025,True,,73.34,,0,9
2025-03-03 00:10:00+00:00,K2025,K2025,True,,73.34,,0,11
2025-03-03 00:15:00+00:00,K2025,K2025,True,73.15250151244015,73.28,-0.12749848755984772,1,9
2025-03-03 00:20:00+00:00,K2025,K2025,True,,73.28,,0,13
2025-03-03 00:25:00+00:00,K2025,K2025,True,,73.32,,0,12
2025-03-03 00:30:00+00:00,K2025,K2025,True,,73.32,,0,2
2025-03-03 00:35:00+00:00,K2025,K2025,True,,73.32,,0,20
2025-03-03 00:40:00+00:00,K2025,K2025,True,,73.37,,0,20
2025-03-03 00:45:00+00:00,K2025,K2025,True,,73.42,,0,12
2025-03-03 00:50:00+00:00,K2025,K2025,True,,73.4,,0,15
2025-03-03 00:55:00+00:00,K2025,K2025,True,,73.38,,0,37
2025-03-03 01:00:00+00:00,K2025,K2025,True,73.37952295880405,73.53,-0.1504770411959555,11,201
2025-03-03 01:05:00+00:00,K2025,K2025,True,73.37952295880405,73.52,-0.1404770411959504,17,70
2025-03-03 01:10:00+00:00,K2025,K2025,True,,73.53,,0,67
2025-03-03 01:15:00+00:00,K2025,K2025,True,,73.56,,0,44
2025-03-03 01:20:00+00:00,K2025,K2025,True,73.44143789872147,73.59,-0.14856210127852876,1,56
2025-03-03 01:25:00+00:00,K2025,K2025,True,73.45175705537439,73.58,-0.1282429446256117,6,17
2025-03-03 01:30:00+00:00,K2025,K2025,True,73.43111874206858,73.57,-0.13888125793141626,1,31
2025-03-03 01:35:00+00:00,K2025,K2025,True,73.42079958541566,73.57,-0.1492004145843282,4,50
2025-03-03 01:40:00+00:00,K2025,K2025,True,,73.49,,0,40
2025-03-03 01:45:00+00:00,K2025,K2025,True,,73.54,,0,50
2025-03-03 01:50:00+00:00,K2025,K2025,True,,73.56,,0,29
2025-03-03 01:55:00+00:00,K2025,K2025,True,73.43111874206858,73.55,-0.11888125793142024,1,24
2025-03-03 02:00:00+00:00,K2025,K2025,True,73.43111874206858,73.57,-0.13888125793141626,6,12
2025-03-03 02:05:00+00:00,K2025,K2025,True,73.493033681986,73.66,-0.16696631801399064,29,84
2025-03-03 02:10:00+00:00,K2025,K2025,True,73.53431030859763,73.6,-0.06568969140236902,3,28
2025-03-03 02:15:00+00:00,K2025,K2025,True,73.44143789872147,73.57,-0.12856210127851853,1,31
2025-03-03 02:20:00+00:00,K2025,K2025,True,,73.59,,0,26
2025-03-03 02:25:00+00:00,K2025,K2025,True,,73.56,,0,45
2025-03-03 02:30:00+00:00,K2025,K2025,True,,73.53,,0,28
2025-03-03 02:35:00+00:00,K2025,K2025,True,73.31760801888663,73.45,-0.13239198111337203,8,176
2025-03-03 02:40:00+00:00,K2025,K2025,True,,73.43,,0,59
2025-03-03 02:45:00+00:00,K2025,K2025,True,,73.39,,0,37
2025-03-03 02:50:00+00:00,K2025,K2025,True,,73.41,,0,10
2025-03-03 02:55:00+00:00,K2025,K2025,True,73.28665054892791,73.33,-0.043349451072089096,1,51
2025-03-03 03:00:00+00:00,K2025,K2025,True,,73.3,,0,53
2025-03-03 03:05:00+00:00,K2025,K2025,True,73.18345898239886,73.29,-0.10654101760114543,3,38
2025-03-03 03:10:00+00:00,K2025,K2025,True,73.13186319913434,73.24,-0.10813680086565114,1,19
2025-03-03 03:15:00+00:00,K2025,K2025,True,73.15250151244015,73.19,-0.03749848755984431,5,130
2025-03-03 03:20:00+00:00,K2025,K2025,True,,73.15,,0,52
2025-03-03 03:25:00+00:00,K2025,K2025,True,,73.15,,0,53
2025-03-03 03:30:00+00:00,K2025,K2025,True,73.06994825921691,73.16,-0.09005174078308187,2,12
2025-03-03 03:35:00+00:00,K2025,K2025,True,,73.2,,0,8
2025-03-03 03:40:00+00:00,K2025,K2025,True,73.10090572917564,73.23,-0.12909427082436764,1,22
2025-03-03 03:45:00+00:00,K2025,K2025,True,,73.21,,0,14
2025-03-03 03:50:00+00:00,K2025,K2025,True,,73.23,,0,4
2025-03-03 03:55:00+00:00,K2025,K2025,True,,73.24,,0,10
2025-03-03 04:00:00+00:00,K2025,K2025,True,,73.24,,0,13
2025-03-03 04:05:00+00:00,K2025,K2025,True,,73.21,,0,2
2025-03-03 04:10:00+00:00,K2025,K2025,True,,73.24,,0,12
2025-03-03 04:15:00+00:00,K2025,K2025,True,,73.22,,0,18
2025-03-03 04:20:00+00:00,K2025,K2025,True,,73.23,,0,6
2025-03-03 04:25:00+00:00,K2025,K2025,True,73.10090572917564,73.14,-0.03909427082436423,6,64
2025-03-03 04:30:00+00:00,K2025,K2025,True,,73.13,,0,27
2025-03-03 04:35:00+00:00,K2025,K2025,True,,73.17,,0,10
2025-03-03 04:40:00+00:00,K2025,K2025,True,,73.16,,0,6
2025-03-03 04:45:00+00:00,K2025,K2025,True,73.14218235578724,73.22,-0.07781764421275739,1,15
2025-03-03 04:50:00+00:00,K2025,K2025,True,,73.2,,0,12
2025-03-03 04:55:00+00:00,K2025,K2025,True,73.11122488582853,73.19,-0.07877511417146366,1,26
2025-03-03 05:00:00+00:00,K2025,K2025,True,,73.15,,0,29
2025-03-03 05:05:00+00:00,K2025,K2025,True,,73.12,,0,12
2025-03-03 05:10:00+00:00,K2025,K2025,True,73.09058657252272,73.16,-0.0694134274772722,1,20
2025-03-03 05:15:00+00:00,K2025,K2025,True,,73.17,,0,6
2025-03-03 05:20:00+00:00,K2025,K2025,True,,73.17,,0,9
2025-03-03 05:25:00+00:00,K2025,K2025,True,,73.16,,0,10
2025-03-03 05:30:00+00:00,K2025,K2025,True,,73.1,,0,34
2025-03-03 05:35:00+00:00,K2025,K2025,True,73.0183524759524,73.09,-0.07164752404760577,51,24
2025-03-03 05:40:00+00:00,K2025,K2025,True,73.0183524759524,73.09,-0.07164752404760577,1,29
2025-03-03 05:45:00+00:00,K2025,K2025,True,73.0183524759524,73.06,-0.041647524047604634,2,75
2025-03-03 05:50:00+00:00,K2025,K2025,True,72.96675669268787,73.07,-0.10324330731212683,25,92
2025-03-03 05:55:00+00:00,K2025,K2025,True,73.0183524759524,73.08,-0.061647524047600655,2,16
2025-03-03 06:00:00+00:00,K2025,K2025,True,72.98739500599368,73.01,-0.022604994006329093,2,21
2025-03-03 06:05:00+00:00,K2025,K2025,True,,72.99,,0,34
2025-03-03 06:10:00+00:00,K2025,K2025,True,72.93579922272916,73.01,-0.07420077727084617,1,22
2025-03-03 06:15:00+00:00,K2025,K2025,True,,73.02,,0,22
2025-03-03 06:20:00+00:00,K2025,K2025,True,72.89452259611754,73.0,-0.10547740388246041,44,117
2025-03-03 06:25:00+00:00,K2025,K2025,True,,73.0,,0,17
2025-03-03 06:30:00+00:00,K2025,K2025,True,72.90484175277044,72.97,-0.06515824722956154,1,62
2025-03-03 06:35:00+00:00,K2025,K2025,True,,72.95,,0,34
2025-03-03 06:40:00+00:00,K2025,K2025,True,,72.93,,0,48
2025-03-03 06:45:00+00:00,K2025,K2025,True,,72.93,,0,18
2025-03-03 06:50:00+00:00,K2025,K2025,True,72.89452259611754,72.97,-0.07547740388245927,3,43
2025-03-03 06:55:00+00:00,K2025,K2025,True,,72.96,,0,20
2025-03-03 07:00:00+00:00,K2025,K2025,True,72.83260765620011,72.86,-0.027392343799888863,5,63
2025-03-03 07:05:00+00:00,K2025,K2025,True,72.82228849954721,72.88,-0.057711500452782616,2,64
2025-03-03 07:10:00+00:00,K2025,K2025,True,72.90484175277044,72.98,-0.07515824722956665,6,72
2025-03-03 07:15:00+00:00,K2025,K2025,True,72.95643753603497,73.0,-0.043562463965031384,18,66
2025-03-03 07:20:00+00:00,K2025,K2025,True,72.89452259611754,72.93,-0.03547740388246723,26,94
2025-03-03 07:25:00+00:00,K2025,K2025,True,72.89452259611754,72.92,-0.025477403882462113,5,67
2025-03-03 07:30:00+00:00,K2025,K2025,True,72.92548006607625,72.97,-0.044519933923751864,9,53
2025-03-03 07:35:00+00:00,K2025,K2025,True,72.94611837938206,73.03,-0.08388162061794446,3,103
2025-03-03 07:40:00+00:00,K2025,K2025,True,72.99771416264659,73.01,-0.01228583735341715,11,45
2025-03-03 07:45:00+00:00,K2025,K2025,True,72.93579922272916,72.94,-0.004200777270838785,4,35
2025-03-03 07:50:00+00:00,K2025,K2025,True,72.87388428281173,72.88,-0.006115717188265535,42,159
2025-03-03 07:55:00+00:00,K2025,K2025,True,72.85324596950592,72.88,-0.02675403049407521,34,115
2025-03-03 08:00:00+00:00,K2025,K2025,True,72.91516090942335,72.95,-0.034839090576653575,82,192
2025-03-03 08:05:00+00:00,K2025,K2025,True,72.90484175277044,72.99,-0.08515824722955756,4,81
2025-03-03 08:10:00+00:00,K2025,K2025,True,72.91516090942335,73.0,-0.08483909057665073,13,55
2025-03-03 08:15:00+00:00,K2025,K2025,True,72.95643753603497,72.96,-0.003562463965025131,57,116
2025-03-03 08:20:00+00:00,K2025,K2025,True,72.8016501862414,72.78,0.021650186241402025,9,129
2025-03-03 08:25:00+00:00,K2025,K2025,True,72.69845861971235,72.71,-0.011541380287638958,48,404
2025-03-03 08:30:00+00:00,K2025,K2025,True,72.65718199310074,72.64,0.01718199310073487,98,297
2025-03-03 08:35:00+00:00,K2025,K2025,True,72.75005440297687,72.75,5.4402976871870123e-05,18,153
2025-03-03 08:40:00+00:00,K2025,K2025,True,72.68813946305944,72.71,-0.0218605369405509,9,128
2025-03-03 08:45:00+00:00,K2025,K2025,True,72.66750114975363,72.65,0.017501149753627487,36,90
2025-03-03 08:50:00+00:00,K2025,K2025,True,72.55399042657169,72.5,0.05399042657168707,60,229
2025-03-03 08:55:00+00:00,K2025,K2025,True,72.5746287398775,72.47,0.10462873987749788,92,216
2025-03-03 09:00:00+00:00,K2025,K2025,True,72.52303295661298,72.39,0.1330329566129791,19,237
2025-03-03 09:05:00+00:00,K2025,K2025,True,72.54367126991879,72.44,0.10367126991879161,29,181
2025-03-03 09:10:00+00:00,K2025,K2025,True,72.52303295661298,72.43,0.09303295661297284,23,57
2025-03-03 09:15:00+00:00,K2025,K2025,True,72.60558620983622,72.52,0.08558620983622234,24,93
2025-03-03 09:20:00+00:00,K2025,K2025,True,72.60558620983622,72.53,0.07558620983621722,22,77
2025-03-03 09:25:00+00:00,K2025,K2025,True,72.58494789653041,72.52,0.06494789653041266,4,80
2025-03-03 09:30:00+00:00,K2025,K2025,True,72.5952670531833,72.49,0.10526705318331153,19,77
2025-03-03 09:35:00+00:00,K2025,K2025,True,72.5746287398775,72.49,0.08462873987750186,5,82
2025-03-03 09:40:00+00:00,K2025,K2025,True,72.55399042657169,72.5,0.05399042657168707,1,95
2025-03-03 09:45:00+00:00,K2025,K2025,True,72.5952670531833,72.47,0.12526705318330755,26,106
2025-03-03 09:50:00+00:00,K2025,K2025,True,72.54367126991879,72.4,0.14367126991878365,11,152
