contract,hour,count,mean,median,std
K2025,0,71,-0.16962599768939693,-0.10813825161170598,0.29651800847059423
K2025,1,142,-0.04092887844406414,0.031435722602402905,0.3460102603104127
K2025,2,118,-0.004331062720147225,0.014308132478547009,0.34269239110619226
K2025,3,92,0.040290201475206205,0.07409439421257247,0.3566486908223672
K2025,4,62,-0.03274518663615887,0.03457421725147469,0.4005752056359381
K2025,5,112,-0.05251514055944665,0.0030315058669287964,0.3906686858394047
K2025,6,191,-0.11207819947184401,-0.01186271305962805,0.40310876190988665
K2025,7,208,-0.13993686022573265,-0.02590451772788782,0.4648184353527534
K2025,8,248,-0.08714933590615574,-0.010851083161398378,0.37645752926694165
K2025,9,242,-0.0810733048679118,0.01026523975075122,0.4142721094610061
K2025,10,240,-0.07956006225744042,-0.02654246834718066,0.40089263414386467
K2025,11,227,-0.08126440721067386,-0.006116442561292956,0.3903240898908953
K2025,12,244,-0.12426202528904598,-0.046170965187329216,0.43349389547812645
K2025,13,248,-0.13495347749424108,-0.02733999729292691,0.46969140017717526
K2025,14,252,-0.12446066871605703,-0.020532651881516983,0.3825557879370723
K2025,15,251,-0.11616638521058628,-0.039947047769175015,0.37042960020733634
K2025,16,248,-0.0923908989639271,-0.036915059566581476,0.36591483834738586
K2025,17,239,-0.08585830181666888,0.013669093799705934,0.36735354123753694
K2025,18,227,-0.08288659620778022,0.013563675412783027,0.3830172410059186
K2025,19,179,-0.06128397212580226,0.04771271190053028,0.36629999046106343
K2025,20,135,-0.042883031065486174,0.06579704661008634,0.3736606536714633
K2025,21,62,0.162005848552201,0.2404251807637081,0.36468027124127994
K2025,22,25,0.31890837910537473,0.2559031903700344,0.648300966786696
K2025,23,11,-0.06552710179213053,-0.08292560140527883,0.24685716712282446
N2025,0,242,0.014873384109137782,0.04005601369223655,0.18278505546743093
N2025,1,234,0.011022096949435739,0.009761163840050102,0.13662103708277268
N2025,2,234,0.01273091352055216,0.009883304807843274,0.1059570963788419
N2025,3,233,-0.01807592165829395,-0.019985996576934895,0.09521829550800616
N2025,4,235,0.004040758899457964,0.00010580364089207706,0.1318709003231569
N2025,5,241,0.039132717458183135,0.0401151392562582,0.26125902449808935
N2025,6,247,-0.0193945078612556,-0.05990664384627564,0.35229475078170086
N2025,7,250,0.00272217831025398,-0.004988330480784953,0.25138934319201445
N2025,8,250,0.00972331725532922,-0.0399043099424361,0.2890094798676469
N2025,9,246,0.038742563448663135,0.004926871012916223,0.2747004850328446
N2025,10,247,-0.010527928419388596,-0.03983195892330116,0.23039465400974296
N2025,11,252,0.020676912381051613,-0.060304963435505954,0.33193338616801005
N2025,12,252,0.004167302624592807,0.034881748871949725,0.37314675846450424
N2025,13,252,0.03436659825488284,0.05514859187801591,0.3876543799659317
N2025,14,251,0.024499933981206614,0.04008246460246312,0.3112192115789171
N2025,15,250,-0.0830441636844553,-0.06006534930760665,0.28436224982982045
N2025,16,243,0.005976010413885949,0.019779057102844888,0.2359629885569343
N2025,17,232,0.01677635567621544,0.009858409833512383,0.221328352962927
N2025,18,227,0.025648115843883084,0.03009957989731049,0.1766420238414627
N2025,19,225,-0.013503988382344782,-1.5559358956807046e-05,0.16149060566007362
N2025,20,138,-0.0222628719870653,-0.009896530262949454,0.10931065738887508
N2025,22,44,-0.09739815692320697,-0.054929204916760455,0.2069554707002764
N2025,23,48,0.16489166796328014,0.1647152637311322,0.1314258856454905
Q2025,0,233,-0.030632986547243404,-0.04007913536605656,0.500351314752713
Q2025,1,241,-0.13179885060755078,-0.018389894724293754,0.5639558484371434
Q2025,2,235,0.11310480310446903,0.059917820957096524,0.4041130748569487
Q2025,3,224,0.0037598106697216416,0.00986607845096188,0.17865988464804403
Q2025,4,222,0.11532315097383514,0.04046416094845284,0.2916996603673045
Q2025,5,232,0.1394473761250576,0.060305128833981314,0.36867041089371927
Q2025,6,249,-0.005329514434446179,-0.019727590691971386,0.4970223279944778
Q2025,7,252,-0.019069492209057317,-0.02417972886220099,0.42810795218832354
Q2025,8,250,0.03397986328046835,0.039903363492150845,0.2736692103178186
Q2025,9,246,-0.19401258647098696,-0.1597884642286047,0.37597857588957667
Q2025,10,246,0.033294965931083526,0.01027393114644326,0.31584182252659715
Q2025,11,247,0.03748992191810315,-0.05001826182942182,0.34867477465315605
Q2025,12,249,-0.04144732305989885,-0.04865012909343136,0.36541532248554
Q2025,13,252,0.11016842306634231,-0.06375589686334848,0.662222759546228
Q2025,14,252,-0.0258784749201092,-0.05947116091886784,0.4024930644148162
Q2025,15,252,0.034881055290926645,0.029847816389960258,0.45366907335389917
Q2025,16,246,0.050639927098222966,-0.01992314692842001,0.7798763280180594
Q2025,17,234,0.0241127944830166,0.019945214048583182,0.5451964736924367
Q2025,18,227,-0.019163806550095374,-0.01988129637197744,0.30507180825186947
Q2025,19,224,0.032097759337981584,0.010644498800743918,0.37049853132199234
Q2025,20,172,-0.060296404320753276,-0.01915461852833289,0.2966851670412662
Q2025,22,45,0.1617436550307804,0.051514229455492,0.3150554857545855
Q2025,23,48,0.08626087505454727,-0.015079135366057983,0.36299127265529124
