contract,d1_present_close_rate,d2_present_close_rate,d1_trade_active_rate,d2_trade_active_rate,both_trade_active_rate,expected_bars
K2025,0.5896785109983079,0.6563935218757554,0.5896785109983079,0.6563935218757554,0.49238578680203043,8274
N2025,0.6567390796542864,0.6231020789535155,0.6567390796542864,0.6231020789535155,0.5925017519271198,8562
Q2025,0.6473424129203327,0.6450524285886465,0.6473424129203327,0.6450524285886465,0.6120284440159094,8297
